"id_person_unique","id_fam1968","employed","emp_2023","sex","age_2021","emp_2021","educ_yrs_2021","days_unemp_2021","flourish_2021","soc_anxiety_2021","fam_expend_2021","female","emp_2021_working","log_fam_expend_2021","age_2023","food_ranout_2023","food_notlast_2023"
"2635_31",2635,1,1,1,24,1,16,0,15,1,56330.16,0,1,10.9390031246112,26,NA,NA
"2636_32",2636,1,2,2,21,1,12,0,11,5,24647.67,1,1,10.1124782226399,23,NA,NA
"2639_31",2639,1,1,1,21,1,13,0,14,3,60546.21,0,1,11.0111786702978,24,NA,NA
"2640_30",2640,1,1,1,26,1,16,0,13,3,65374.05,0,1,11.0878959661853,28,NA,NA
"2646_34",2646,1,1,2,21,7,16,0,15,3,165479,1,0,12.0166056205753,23,NA,NA
"2646_36",2646,0,3,2,18,7,12,0,16,4,165479,1,0,12.0166056205753,20,NA,NA
"2649_39",2649,1,1,2,21,1,11,NA,NA,NA,23303.19,1,1,10.0563884517128,23,3,3
"2649_179",2649,1,2,2,23,6,14,0,9,5,61673.83,1,0,11.0296311850095,25,NA,NA
"2653_32",2653,1,1,2,22,1,16,0,18,3,26590,1,1,10.1883280916533,24,NA,NA
"2655_35",2655,1,1,1,20,1,10,0,8,4,33402.9,0,1,10.4164279386152,22,NA,NA
"2660_33",2660,1,1,1,24,3,15,0,12,3,65369.48,0,0,11.0878260593976,26,NA,NA
"2661_44",2661,1,1,2,24,1,10,0,15,3,11626.14,1,1,9.36109729953531,26,NA,NA
"2661_45",2661,1,1,2,22,1,12,0,9,4,26325.07,1,1,10.1783149819501,25,NA,NA
"2661_46",2661,1,1,2,20,1,10,0,15,4,40828.18,1,1,10.6171523008398,22,NA,NA
"2661_47",2661,1,1,2,21,1,14,0,15,3,48776.89,1,1,10.7950324154018,23,NA,NA
"2665_38",2665,1,1,2,24,6,10,0,15,2,55196,1,0,10.9186638829622,26,NA,NA
"2665_39",2665,0,3,2,24,5,12,NA,NA,NA,17032.39,1,0,9.74293081432833,26,NA,NA
"2665_40",2665,1,1,1,21,1,12,NA,NA,NA,17032.39,0,1,9.74293081432833,23,NA,NA
"2688_36",2688,1,1,1,27,1,15,0,13,4,8840.39,0,1,9.08719938308981,28,NA,NA
"2688_38",2688,1,1,1,17,7,12,0,15,3,58078.15,0,0,10.9695620144054,19,2,2
"2688_180",2688,0,3,1,19,3,10,0,14,3,31365,0,0,10.3534797826944,21,NA,NA
"2701_50",2701,1,2,1,27,1,14,0,12,5,78629.77,0,1,11.2725183776376,28,NA,NA
"2701_51",2701,0,3,1,25,3,11,0,14,4,20897.96,0,0,9.94745467594924,27,NA,NA
"2701_55",2701,1,2,1,20,1,12,0,15,3,41288,0,1,10.6283513996476,22,NA,NA
"2701_211",2701,1,1,2,26,1,16,0,10,3,40584.2,1,1,10.6111587471122,28,NA,NA
"2701_216",2701,1,1,2,24,1,12,0,16,3,12550,1,1,9.43755562266045,26,NA,NA
"2701_217",2701,1,1,1,22,1,12,0,10,2,51207.91,0,1,10.8436688193248,25,NA,NA
"2701_225",2701,0,3,2,20,3,12,0,6,5,78629.77,1,0,11.2725183776376,22,NA,NA
"2701_232",2701,0,3,2,18,3,12,0,8,5,62292,1,0,11.0396043389122,20,NA,NA
"2701_238",2701,0,3,1,19,8,9,0,8,5,27504,0,0,10.2221230853096,21,NA,NA
"2704_196",2704,0,3,1,18,1,12,0,16,3,26763.45,0,1,10.1948297933916,20,NA,NA
"2707_47",2707,1,1,2,21,1,12,0,14,2,27068.02,1,1,10.2061451795149,23,NA,NA
"2707_50",2707,0,3,1,20,3,12,0,8,3,24655.39,0,0,10.1127913750857,22,NA,NA
"2707_54",2707,1,1,1,17,7,11,NA,NA,NA,66910.39,0,0,11.1111244857353,19,NA,NA
